CODE,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
EQTY,19.5,36.5,140,145,141,138,3,2.13%,"7,500"
EQTY,19.55,36.5,140,150,144,141,3,2.08%,"13,300"
EQTY,19.5,36.5,146,157,154,144,10,6.49%,"28,800"
EQTY,19.55,36.5,155,170,167,154,13,7.78%,"53,100"
EQTY,19.55,36.5,170,185,179,167,12,6.70%,"93,000"
EQTY,19.55,36.5,185,202,199,179,20,10.05%,"97,600"
EQTY,19.55,36.5,210,222,221,199,22,9.95%,"218,300"
EQTY,19.55,36.5,219,244,237,221,16,6.75%,"281,200"
EQTY,19.55,36.5,203,220,213,237,-24,11.27%,"44,900"
EQTY,19.55,36.5,190,202,198,213,-15,7.58%,"108,900"
EQTY,19.55,36.5,178,190,188,198,-10,5.32%,"47,700"
EQTY,19.55,36.5,170,200,184,188,-4,2.17%,"133,500"
EQTY,19.5,36.5,190,206,200,184,16,8.00%,"165,900"
EQTY,19.55,36.5,206,226,215,200,15,6.98%,"132,700"
EQTY,19.55,36.5,208,225,214,215,-1,0.47%,"119,600"
EQTY,19.55,36.5,200,215,211,214,-3,1.42%,"57,500"
EQTY,19.55,36.5,192,210,205,211,-6,2.93%,"123,500"
EQTY,19.55,36.5,195,210,207,205,2,0.97%,"116,200"
EQTY,19.55,36.5,208,220,210,207,3,1.43%,"303,500"
EQTY,19.55,36.5,216,233,223,210,13,5.83%,"87,500"
EQTY,19.55,36.5,215,224,217,223,-6,2.76%,"117,600"
EQTY,19.55,36.5,205,230,213,217,-4,1.88%,"157,500"
EQTY,19.5,36.5,200,215,203,213,-10,4.93%,"134,100"
EQTY,19.5,36.5,190,205,200,203,-3,1.50%,"64,300"
EQTY,19.55,36.5,195,207,202,200,2,0.99%,"191,200"
EQTY,19.55,36.5,202,220,215,202,13,6.05%,"155,100"
EQTY,19.55,36.5,214,225,218,215,3,1.38%,"224,900"
EQTY,19.55,36.5,220,230,225,218,7,3.11%,"196,500"
EQTY,19.55,36.5,227,240,231,225,6,2.60%,"102,200"
EQTY,19.55,36.5,240,254,246,231,15,6.10%,"559,800"
EQTY,19.55,36.5,225,275,247,246,1,0.40%,"213,500"
EQTY,19.55,36.5,220,245,229,247,-18,7.86%,"98,400"
EQTY,19.55,36.5,220,229,224,229,-5,2.23%,"94,500"
EQTY,19.55,36.5,222,235,226,224,2,0.88%,"88,300"
EQTY,19.55,36.5,230,238,234,226,8,3.42%,"158,400"
EQTY,19.55,36.5,225,240,235,234,1,0.43%,"136,700"
EQTY,19.55,36.5,230,240,235,235,-,-,"142,500"
EQTY,19.55,36.5,225,236,231,235,-4,1.73%,"152,800"
EQTY,19.55,36.5,220,230,225,231,-6,2.67%,"68,500"
EQTY,19.55,36.5,219,230,222,225,-3,1.35%,"65,100"
EQTY,19.5,36.5,218,220,219,222,-3,1.37%,"69,200"
EQTY,19.5,36.5,210,220,217,219,-2,0.92%,"154,800"
EQTY,19.5,36.5,205,220,211,217,-6,2.84%,"40,300"
EQTY,19.55,36.5,218,225,220,211,9,4.09%,"67,400"
EQTY,19.5,36.5,220,230,229,220,9,3.93%,"42,900"
EQTY,19.55,36.5,229,240,231,229,2,0.87%,"47,500"
EQTY,19.55,36.5,220,240,233,231,2,0.86%,"81,600"
EQTY,19.55,36.5,230,239,234,233,1,0.43%,"36,000"
EQTY,19.55,36.5,230,239,233,234,-1,0.43%,"50,700"
EQTY,19.55,36.5,230,237,235,233,2,0.85%,"33,500"
EQTY,19.55,36.5,233,239,237,235,2,0.84%,"39,500"
EQTY,19.55,36.5,238,245,240,237,3,1.25%,"110,700"
EQTY,19.5,36.5,235,241,239,240,-1,0.42%,"90,100"
EQTY,19.55,36.5,233,238,237,239,-2,0.84%,"55,600"
EQTY,19.55,36.5,230,238,236,237,-1,0.42%,"99,800"
EQTY,19.55,36.5,230,236,232,236,-4,1.72%,"119,200"
EQTY,19.55,36.5,220,235,230,232,-2,0.87%,"54,300"
EQTY,19.55,36.5,221,235,228,230,-2,0.88%,"58,000"
EQTY,19.55,36.5,204,226,218,228,-10,4.59%,"65,000"
EQTY,19.55,36.5,200,226,219,218,1,0.46%,"210,600"
EQTY,19.55,36.5,218,225,220,219,1,0.45%,"167,400"
EQTY,19.55,36.5,222,240,229,220,9,3.93%,"62,100"
EQTY,19.55,36.5,240,258,247,229,18,7.29%,"87,200"
EQTY,19.55,36.5,256,280,270,247,23,8.52%,"120,000"
EQTY,19.55,36.5,264,283,274,270,4,1.46%,"216,800"
EQTY,19.55,36.5,270,285,276,274,2,0.72%,"98,100"
EQTY,19.55,36.5,255,270,263,276,-13,4.94%,"150,100"
EQTY,19.55,36.5,265,285,274,263,11,4.01%,"209,800"
EQTY,19.55,36.5,75.5,100,80.5,274,-193.5,240.37%,"79,700"
EQTY,19.55,36.5,85,92.5,88.5,80.5,8,9.04%,"73,500"
EQTY,19.55,36.5,85,90,88.5,88.5,-,-,"171,600"
EQTY,19.55,36.5,85,90,87,88.5,-1.5,1.72%,"157,800"
EQTY,19.55,36.5,78,86,83.5,87,-3.5,4.19%,"59,300"
EQTY,19.55,36.5,75,85,78,83.5,-5.5,7.05%,"399,500"
EQTY,19.55,36.5,70.5,76,74.5,78,-3.5,4.70%,"146,600"
